survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Heavy alloys (Copper/Lead/Nickel) SR[908],CSIR,MSM,Light Metals,Advanced Casting Technologies,SGOVENDER,RGL,Subcritical,Unbalanced,Under resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Materials Engineering,Metallic,Non-ferrous alloys,Heavy alloys (Copper/Lead/Nickel),1,1,2,2,1,2,4,1.8571428571
Light alloys (Zinc/Aluminium/Magnesium/Titanium) SR[909],CSIR,MSM,Light Metals,Advanced Casting Technologies,SGOVENDER,RGL,Developing,Unbalanced,Under resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Materials Engineering,Metallic,Non-ferrous alloys,Light alloys (Zinc/Aluminium/Magnesium/Titanium),3,1,2,2,1,2,4,2.1428571429
Metal Matrix Composites SR[906],CSIR,MSM,Light Metals,Advanced Casting Technologies,SGOVENDER,RGL,Subcritical,Unbalanced,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Materials Engineering,Metallic,Metallic  (Metal Matrix Composites),Metal Matrix Composites,1,1,0,0,0,0,0,1
Metal matrix SR[903],CSIR,MSM,Light Metals,Advanced Casting Technologies,SGOVENDER,RGL,Subcritical,Developing,Under resourced,Informal approach,Under resourced,New requirement,Freely available,Materials Engineering,Composites,Composites  (Metal matrix),Metal matrix,1,3,2,2,1,3,4,2.2857142857
Metals SR[907],CSIR,MSM,Light Metals,Advanced Casting Technologies,SGOVENDER,RGL,Mature,Unbalanced,Under resourced,Formal approach,Under resourced,Working condition,Freely available,Materials Engineering,Metallic,Metallic  (Metals),Metals,4,1,2,3,1,4,4,2.7142857143
New industrial applications SR[904],CSIR,MSM,Light Metals,Advanced Casting Technologies,SGOVENDER,RGL,Subcritical,Unbalanced,Under resourced,Formal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (New industrial applications),New industrial applications,1,1,2,3,1,3,3,2
Additive Manufacturing - 3D Printing SR[382],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Emerging,Emerging,Sufficiently resourced,Formal approach,Under resourced,New requirement,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Additive Manufacturing - 3D Printing),Additive Manufacturing - 3D Printing,2,2,3,3,1,3,4,2.5714285714
Advanced metals SR[373],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Emerging,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Composite Materials and Technologies,Composite Materials and Technologies (Advanced metals),Advanced metals,2,1,3,2,1,2,4,2.1428571429
Ceramics and polymers SR[374],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Developing,Unbalanced,Under resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Composite Materials and Technologies,Composite Materials and Technologies (Ceramics and polymers),Ceramics and polymers,3,1,2,2,1,2,4,2.1428571429
Computer Aided Design SR[386],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Design,4,1,3,3,3,4,4,3.1428571429
Concept development SR[377],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,1,3,3,3,1,4,2.7142857143
Design for Manufacturability SR[379],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Manufacturability),Design for Manufacturability,4,1,3,3,3,1,4,2.7142857143
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[380]",CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",4,1,3,3,3,1,4,2.7142857143
FEA SR[366],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (FEA),FEA,4,1,3,3,3,1,4,2.7142857143
Fibre-reinforced polymer SR[376],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Materials Engineering,Composites,Composites  (Fibre-reinforced polymer),Fibre-reinforced polymer,3,1,2,4,1,3,4,2.5714285714
Mechanical & Material Testing & Characterisation SR[367],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Mechanical & Material Testing & Characterisation),Mechanical & Material Testing & Characterisation,4,3,3,3,3,2,4,3.1428571429
"Mechanical, structural, physical and geometrical characterization SR[372]",CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Modern and Emerging Technologies,"Characterization, Modeling and Simulation of Mechanical Processes","Characterization, Modeling and Simulation of Mechanical Processes (Mechanical, structural, physical and geometrical characterization)","Mechanical, structural, physical and geometrical characterization",4,1,3,3,3,1,4,2.7142857143
Modelling and Simulation SR[368],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Modelling and Simulation),Modelling and Simulation,4,1,3,3,3,1,4,2.7142857143
Multi-Physics Analysis SR[369],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Multi-Physics Analysis),Multi-Physics Analysis,3,1,3,3,3,1,4,2.5714285714
New industrial applications SR[383],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Developing,Emerging,Sufficiently resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (New industrial applications),New industrial applications,3,2,3,3,1,2,4,2.5714285714
Novel manufacturing methods SR[384],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Novel manufacturing methods),Novel manufacturing methods,3,3,2,3,1,2,4,2.5714285714
Sheet SR[385],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Emerging,Developing,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Manufacturing Processes & Systems,Manufacturing Processes,Forming,Sheet,2,3,2,4,1,3,4,2.7142857143
System design SR[381],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Product and Process Design & Development,Design Phase,Design Phase (System design),System design,4,1,3,3,3,1,4,2.7142857143
Systems engineering (SE) - Model-based SR[378],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Emerging,Unbalanced,Under resourced,Formal approach,Under resourced,Old,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Systems engineering (SE) - Model-based),Systems engineering (SE) - Model-based,2,1,2,3,1,1,4,2
Transformative technology SR[375],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Emerging,Emerging,Under resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Composite Materials and Technologies,Composite Materials and Technologies (Transformative technology),Transformative technology,2,2,2,3,1,2,4,2.2857142857
Validation SR[370],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Validation),Validation,4,3,3,3,3,1,4,3
Verification SR[371],CSIR,MSM,Light Metals,Design & Analysis,GCORDERLEY,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Verification),Verification,3,3,3,3,3,2,4,3
Advanced metals SR[419],CSIR,MSM,Light Metals,Powder Metallurgy,HCHIKWANDA,RGL,Developing,Unbalanced,Under resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Composite Materials and Technologies,Composite Materials and Technologies (Advanced metals),Advanced metals,3,1,2,3,1,2,3,2.1428571429
Energy efficiency in manufacturing SR[420],CSIR,MSM,Light Metals,Powder Metallurgy,HCHIKWANDA,RGL,Developing,Unbalanced,Under resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Energy efficiency in manufacturing),Energy efficiency in manufacturing,3,1,2,3,1,2,3,2.1428571429
Engineering innovation SR[423],CSIR,MSM,Light Metals,Powder Metallurgy,HCHIKWANDA,RGL,Emerging,Unbalanced,Under resourced,Formal approach,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Engineering innovation),Engineering innovation,2,1,2,3,1,0,0,1.8
Mechanical & Material Testing & Characterisation SR[418],CSIR,MSM,Light Metals,Powder Metallurgy,HCHIKWANDA,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Mechanical & Material Testing & Characterisation),Mechanical & Material Testing & Characterisation,4,4,3,3,3,2,3,3.1428571429
non-traditional manufacturing processes SR[421],CSIR,MSM,Light Metals,Powder Metallurgy,HCHIKWANDA,RGL,Developing,Unbalanced,Under resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (non-traditional manufacturing processes),non-traditional manufacturing processes,3,1,2,3,1,2,3,2.1428571429
Novel manufacturing methods SR[422],CSIR,MSM,Light Metals,Powder Metallurgy,HCHIKWANDA,RGL,Developing,Unbalanced,Under resourced,Formal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Novel manufacturing methods),Novel manufacturing methods,3,1,2,3,1,2,3,2.1428571429
Advanced metals SR[938],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Not applicable,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Composite Materials and Technologies,Composite Materials and Technologies (Advanced metals),Advanced metals,3,0,3,4,3,0,4,3.4
Assessment of water waste streams and decision-support coupling to minimise impacts and maximise reuse SR[967],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Well resourced,Needs upgrade,Freely available,Environment and Natural Resources,Wastewater,Wastewater (Assessment of water waste streams and decision-support coupling to minimise impacts and maximise reuse),Assessment of water waste streams and decision-support coupling to minimise impacts and maximise reuse,3,1,3,4,4,2,4,3
Carbon nanotubes and graphine SR[958],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Not applicable,Working condition,Freely available,Modern and Emerging Technologies,Micro- and Nano technologies,Micro- and Nano technologies (Carbon nanotubes and graphine),Carbon nanotubes and graphine,3,1,3,4,0,4,4,3.1666666667
Competitiveness improvement assessments SR[949],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Well resourced,Formal approach,Well resourced,Working condition,Freely available,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement assessments,3,1,4,3,4,4,4,3.2857142857
Computer-aided Process Planning SR[952],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Not applicable,Not applicable,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Computer-aided Process Planning),Computer-aided Process Planning,0,0,3,3,0,0,0,3
Concept development SR[940],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,4,4,4,3,4,4,3.8571428571
Design for Manufacturability SR[942],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Not applicable,Not applicable,Sufficiently resourced,Not applicable,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Design for Manufacturability),Design for Manufacturability,0,0,3,0,0,0,0,3
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[943]",CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Not applicable,Formal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",3,1,0,3,3,0,4,2.8
Electrochemistry SR[2434],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Freely available,Manufacturing Processes & Systems,Manufacturing Processes,Manufacturing Processes (Electrochemistry),Electrochemistry,3,4,3,4,3,2,4,3.2857142857
Energy efficiency in manufacturing SR[947],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Energy efficiency in manufacturing),Energy efficiency in manufacturing,3,1,3,4,3,2,4,2.8571428571
Engineering innovation SR[965],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Not applicable,Unbalanced,Well resourced,Not applicable,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Engineering innovation),Engineering innovation,0,1,4,0,3,0,0,2.6666666667
Feasibility SR[941],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Not applicable,Well resourced,Formal approach,Well resourced,Working condition,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Feasibility),Feasibility,4,0,4,3,4,4,4,3.8333333333
Financial modelling SR[960],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Well resourced,Formal approach,Well resourced,Not applicable,Freely available,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Financial modelling,3,1,4,3,4,0,4,3.1666666667
Funding identification and applications SR[959],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Well resourced,Working condition,Freely available,Enterprise Development,Opportunity assessment and packaging,Business planning,Funding identification and applications,4,1,3,3,4,4,4,3.2857142857
"Hazard recognition, evaluation and control SR[964]",CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Working condition,Freely available,Industrial Engineering,Industrial Engineering (Safety),Safety,"Hazard recognition, evaluation and control",4,4,4,3,4,4,4,3.8571428571
Knowledge management SR[966],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Working condition,Freely available,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Knowledge management),Knowledge management,4,4,4,3,4,4,4,3.8571428571
Light alloys (Zinc/Aluminium/Magnesium/Titanium) SR[957],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Not Applicable,CSIR Proprietary/Unique,Well resourced,Working condition,Freely available,Materials Engineering,Metallic,Non-ferrous alloys,Light alloys (Zinc/Aluminium/Magnesium/Titanium),4,4,0,4,4,4,4,4
Market development and linkages SR[950],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Well resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Enterprise Development,Enterprise creation and development,Enterprise creation,Market development and linkages,3,1,4,3,3,4,4,3.1428571429
Market Feasibility studies SR[961],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Not applicable,Freely available,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Market Feasibility studies,4,4,4,3,4,0,4,3.8333333333
Mass/flow Production SR[955],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Production Systems,Mass/flow Production,3,1,3,3,3,2,4,2.7142857143
Metals SR[956],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Well resourced,Working condition,Freely available,Materials Engineering,Metallic,Metallic  (Metals),Metals,4,4,4,4,4,4,4,4
Nano SR[939],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Freely available,Materials Engineering,Composites,Composites  (Nano),Nano,3,1,3,4,3,4,4,3.1428571429
Natural ceramics (Rocks) SR[937],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Materials Engineering,Ceramics,Ceramics  (Natural ceramics (Rocks)),Natural ceramics (Rocks),3,1,3,3,3,2,4,2.7142857143
Novel manufacturing methods SR[948],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Well resourced,Not applicable,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Novel manufacturing methods),Novel manufacturing methods,3,1,2,4,4,0,4,3
Pilot production SR[951],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Well resourced,Working condition,Freely available,Enterprise Development,Enterprise creation and development,Enterprise creation,Pilot production,4,4,4,4,4,4,4,4
Plant Simulation SR[953],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Not applicable,Well resourced,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Plant Simulation),Plant Simulation,0,4,0,0,0,0,0,4
Product Formulation (Recipe) SR[944],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (Product Formulation (Recipe)),Product Formulation (Recipe),3,0,0,0,0,0,0,3
Prototyping or Pilot Plant Scale-up SR[954],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Well resourced,Working condition,Freely available,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Prototyping or Pilot Plant Scale-up),Prototyping or Pilot Plant Scale-up,4,4,4,4,4,4,4,4
Storage Technologies SR[945],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Well resourced,Working condition,Freely available,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Storage Technologies),Storage Technologies,3,1,3,4,4,4,4,3.2857142857
Technical feasibility studies SR[963],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Working condition,Freely available,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Technical feasibility studies,4,4,4,3,4,4,4,3.8571428571
Techno-economic Feasibility studies (Pre-feasibility Studies) SR[962],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Working condition,Freely available,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Techno-economic Feasibility studies (Pre-feasibility Studies),4,4,4,3,4,4,4,3.8571428571
Tools and techniques SR[946],CSIR,MSM,Light Metals,Primary Processes,SOOSTHUIZEN,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Engineering Economic Analysis),Engineering Economic Analysis,Tools and techniques,3,1,3,3,3,0,4,2.8333333333
Autonomous vehicles SR[774],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Developing,Not applicable,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Autonomous vehicles),Autonomous vehicles,3,0,3,2,3,0,0,2.75
Computational Intelligence SR[775],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Not applicable,Developing,Under resourced,Informal approach,Under resourced,Not applicable,Freely available,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Computational Intelligence),Computational Intelligence,0,3,2,2,1,0,4,2.4
Computer Aided Design SR[781],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Working condition,Controlled,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Design,4,4,4,3,4,4,3,3.7142857143
Computer Aided Engineering SR[782],CSIR,MSM,Mechatronics & Micro Manufacturing,Mechatronics,PBOSSCHA,RGL,Developing,Well resourced,Sufficiently resourced,Formal approach,Well resourced,Needs upgrade,Controlled,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Engineering,3,4,3,3,4,2,3,3.1428571429
