survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Probabilistic modeling and analysis SR[538],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,"Characterization, Modeling and Simulation of Mechanical Processes","Characterization, Modeling and Simulation of Mechanical Processes (Probabilistic modeling and analysis)",Probabilistic modeling and analysis,3,1,3,3,3,2,4,2.7142857143
Product Simulation and Prototyping SR[545],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Developing,Unbalanced,Not applicable,Formal approach,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Product Simulation and Prototyping,3,1,0,3,3,4,4,3
System design SR[542],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Emerging,Unbalanced,Under resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Design Phase,Design Phase (System design),System design,2,1,2,2,3,0,4,2.3333333333
Computer Aided Engineering SR[409],CSIR,DPSS,Aeronautic Systems,Air Power,GSNEDDEN,RGL,Developing,Developing,Under resourced,CSIR Proprietary/Unique,Under resourced,Not applicable,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Engineering,3,3,2,4,1,0,4,2.8333333333
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[408]",CSIR,DPSS,Aeronautic Systems,Air Power,GSNEDDEN,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",3,3,2,2,1,3,3,2.4285714286
Analysis tools SR[723],CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Mature,Well resourced,Sufficiently resourced,Informal approach,Sufficiently resourced,Working condition,Controlled,Industrial Engineering,Industrial Engineering (Work Design and Measurement),Work Design and Measurement,Analysis tools,4,4,3,2,3,4,3,3.2857142857
Engineering Management (Project Management) SR[719],CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Mature,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,Engineering Management (Project Management),4,0,0,0,0,0,4,4
Human resource management SR[717],CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Subcritical,Unbalanced,Well resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,Human resource management,1,1,4,4,3,0,4,2.8333333333
Inventory management and control tools and techniques SR[720],CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Subcritical,Unbalanced,Under resourced,Informal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Operations Engineering and Management),Operations Engineering and Management,Inventory management and control tools and techniques,1,1,2,2,0,0,0,1.5
"Leadership, teamwork and organisation related practices SR[718]",CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Not applicable,Unbalanced,Sufficiently resourced,Not applicable,Sufficiently resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,"Leadership, teamwork and organisation related practices",0,1,3,0,3,0,0,2.3333333333
Maintenance management and control tools and techniques SR[721],CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Industrial Engineering,Industrial Engineering (Operations Engineering and Management),Operations Engineering and Management,Maintenance management and control tools and techniques,4,1,3,3,3,4,4,3.1428571429
Modelling and Simulation SR[716],CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Modelling and Simulation),Modelling and Simulation,4,4,4,4,3,4,3,3.7142857143
Project management tools and techniques SR[722],CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Mature,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Operations Engineering and Management),Operations Engineering and Management,Project management tools and techniques,4,1,3,2,3,0,0,2.6
"Test, Measurement and Evaluation (TM&E) SR[2402]",CSIR,DPSS,Aeronautic Systems,Experimental aerodynamics and facilities,MMORELLI,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Well resourced,Needs upgrade,Controlled,Product and Process Design & Development,Analysis and V&V,"Analysis and V&V (Test, Measurement and Evaluation (TM&E))","Test, Measurement and Evaluation (TM&E)",4,4,3,4,4,2,3,3.4285714286
New industrial applications SR[365],CSIR,DPSS,Aeronautic Systems,Non-Destructive Testing,FROSSOUW,RGL,Developing,Emerging,Under resourced,Formal approach,Under resourced,New requirement,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (New industrial applications),New industrial applications,3,2,2,3,1,3,4,2.5714285714
Non-Destructive Inspection / Test SR[364],CSIR,DPSS,Aeronautic Systems,Non-Destructive Testing,FROSSOUW,RGL,Mature,Emerging,Under resourced,Formal approach,Under resourced,New requirement,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Non-Destructive Inspection / Test),Non-Destructive Inspection / Test,4,2,2,3,1,3,4,2.7142857143
Concept development SR[533],CSIR,DPSS,Aeronautic Systems,Systems Engineering and Systems Modelling,JMORGAN,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,Needs upgrade,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,3,1,2,4,1,2,3,2.2857142857
Augmented and Virtual Reality (Augmented reality) SR[994],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Mature,Emerging,Not applicable,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Augmented and Virtual Reality,Augmented and Virtual Reality (Augmented reality),Augmented and Virtual Reality (Augmented reality),4,2,0,2,1,3,0,2.4
Blockchain Technology SR[996],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,(Blockchain Technology),(Blockchain Technology) (Blockchain Technology),Blockchain Technology,1,2,2,2,1,3,0,1.8333333333
Cloud Technology (Cloud Computing) SR[997],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Cloud Technology,Cloud Technology (Cloud Computing),Cloud Technology (Cloud Computing),2,2,2,2,1,3,0,2
Command and Control Technologies SR[2435],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,(Command and Control Technologies),(Command and Control Technologies) (Command and Control Technologies),Command and Control Technologies,1,2,2,2,1,3,0,1.8333333333
Computational Intelligence SR[993],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Computational Intelligence),Computational Intelligence,1,2,2,2,1,3,0,1.8333333333
Concept development SR[998],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,3,3,2,2,1,3,0,2.3333333333
Data analysis SR[995],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Emerging,Developing,Under resourced,Informal approach,Under resourced,Old,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Data analysis,2,3,2,2,1,1,0,1.8333333333
Decision Support Technologies SR[1000],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Decision Support,Decision Support (Decision Support Technologies),Decision Support Technologies,1,2,2,2,1,3,0,1.8333333333
Interoperability Technology SR[1002],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,(Interoperability Technology),(Interoperability Technology) (Interoperability Technology),Interoperability Technology,1,2,2,2,1,3,0,1.8333333333
Location-based services SR[1005],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Spatial Analytics,Spatial Analytics (Location-based services),Location-based services,1,2,2,2,1,3,0,1.8333333333
Other analytical tools and techniques SR[1003],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Industrial Engineering,Industrial Engineering (Operations Research and Analysis),Operations Research and Analysis,Other analytical tools and techniques,1,2,2,2,1,3,0,1.8333333333
Real Time Information Management Systems SR[1001],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Decision Support,Decision Support (Real Time Information Management Systems),Real Time Information Management Systems,1,2,2,2,1,3,0,1.8333333333
Requirements management SR[999],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,1,2,2,2,1,3,0,1.8333333333
Situational Awareness SR[1004],CSIR,DPSS,Command Control & Info,Command and Control,WHLEROUX,RGL,Subcritical,Emerging,Not resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,(Situational Awareness),(Situational Awareness) (Situational Awareness),Situational Awareness,1,2,1,2,1,3,0,1.6666666667
Cyber-Physical Systems SR[472],CSIR,DPSS,Command Control & Info,Cyber Centre of Innovation,JJVVUUREN,RGL,Subcritical,Emerging,Not resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cyber-Physical Systems),Cyber-Physical Systems,1,2,1,2,1,3,3,1.8571428571
Cybersecurity SR[475],CSIR,DPSS,Command Control & Info,Cyber Centre of Innovation,JJVVUUREN,RGL,Emerging,Unbalanced,Under resourced,Formal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Security,Security (Cybersecurity),Cybersecurity,2,1,2,3,1,3,0,2
Digital Forensics SR[476],CSIR,DPSS,Command Control & Info,Cyber Centre of Innovation,JJVVUUREN,RGL,Developing,Unbalanced,Under resourced,Informal approach,Under resourced,Old,Controlled,Modern and Emerging Technologies,Security,Security (Digital Forensics),Digital Forensics,3,1,2,2,1,1,3,1.8571428571
Industrial Cyber Security SR[473],CSIR,DPSS,Command Control & Info,Cyber Centre of Innovation,JJVVUUREN,RGL,Subcritical,Emerging,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Cyber Security),Industrial Cyber Security,1,2,0,0,0,0,0,1.5
Social Networking SR[474],CSIR,DPSS,Command Control & Info,Cyber Centre of Innovation,JJVVUUREN,RGL,Emerging,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Informatics,Informatics (Social Networking),Social Networking,2,2,2,2,1,3,0,2
Cybersecurity SR[148],CSIR,DPSS,Command Control & Info,Cyber Operation,CCOETZER2,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,Working condition,Controlled,Modern and Emerging Technologies,Security,Security (Cybersecurity),Cybersecurity,3,3,2,3,1,4,3,2.7142857143
Industrial Cyber Security SR[147],CSIR,DPSS,Command Control & Info,Cyber Operation,CCOETZER2,RGL,Subcritical,Unbalanced,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Cyber Security),Industrial Cyber Security,1,1,2,2,1,3,3,1.8571428571
Control incl. security SR[676],CSIR,DPSS,Command Control & Info,Cyber Security,LRUXWANA,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Industrial Engineering,Industrial Engineering (Information Engineering),Information Engineering,Control incl. security,4,4,3,3,3,1,4,3.1428571429
Cybersecurity SR[679],CSIR,DPSS,Command Control & Info,Cyber Security,LRUXWANA,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Security,Security (Cybersecurity),Cybersecurity,3,3,2,2,1,3,3,2.4285714286
Design for Certification / Compliance SR[675],CSIR,DPSS,Command Control & Info,Cyber Security,LRUXWANA,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,New requirement,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Certification / Compliance),Design for Certification / Compliance,3,3,3,3,3,3,4,3.1428571429
Due diligence studies (existing enterprises) (Strategy Development) SR[677],CSIR,DPSS,Command Control & Info,Cyber Security,LRUXWANA,RGL,Developing,Unbalanced,Not applicable,Informal approach,Under resourced,New requirement,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Due diligence studies (existing enterprises) (Strategy Development),3,1,0,2,1,3,0,2
"Full Scale, Field Evaluation SR[673]",CSIR,DPSS,Command Control & Info,Cyber Security,LRUXWANA,RGL,Emerging,Emerging,Not resourced,Informal approach,Under resourced,New requirement,Controlled,Product and Process Design & Development,Analysis and V&V,"Analysis and V&V (Full Scale, Field Evaluation)","Full Scale, Field Evaluation",2,2,1,2,1,3,3,2
LED Training and mentoring SR[674],CSIR,DPSS,Command Control & Info,Cyber Security,LRUXWANA,RGL,Developing,Well resourced,Under resourced,Formal approach,Sufficiently resourced,Old,Freely available,Enterprise Development,Capacity Building for Local Economic Development (LED),LED practitioner training,LED Training and mentoring,3,4,2,3,3,1,4,2.8571428571
Situational Awareness SR[680],CSIR,DPSS,Command Control & Info,Cyber Security,LRUXWANA,RGL,Not applicable,Emerging,Not applicable,Not applicable,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,(Situational Awareness),(Situational Awareness) (Situational Awareness),Situational Awareness,0,2,0,0,1,3,3,2.25
Technical feasibility studies SR[678],CSIR,DPSS,Command Control & Info,Cyber Security,LRUXWANA,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Freely available,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Technical feasibility studies,3,2,2,2,1,3,4,2.4285714286
Cybersecurity SR[534],CSIR,DPSS,Command Control & Info,Cyber Warfare,JMTSWENI,RGL,Developing,Unbalanced,Under resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Security,Security (Cybersecurity),Cybersecurity,3,1,2,3,1,2,4,2.2857142857
Reverse engineering SR[535],CSIR,DPSS,Command Control & Info,Cyber Warfare,JMTSWENI,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,Working condition,Controlled,Product and Process Design & Development,Tools and Techniques,Tools and Techniques (Reverse engineering),Reverse engineering,3,3,2,3,1,4,3,2.7142857143
Economic development opportunity identification SR[562],CSIR,DPSS,Command Control & Info,Integrated Capability management,JTHABA,RGL,Developing,Developing,Under resourced,Formal approach,Well resourced,Needs upgrade,Freely available,Enterprise Development,Opportunity Identification,Rapid reviews (geographic area based),Economic development opportunity identification,3,3,2,3,4,2,4,3
Concept development SR[713],CSIR,DPSS,Command Control & Info,Modelling and Simulation for Decision Suppport,MMOLEKOA,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,4,3,3,3,2,3,3.1428571429
Modelling and Simulation SR[712],CSIR,DPSS,Command Control & Info,Modelling and Simulation for Decision Suppport,MMOLEKOA,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Well resourced,Needs upgrade,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Modelling and Simulation),Modelling and Simulation,4,1,3,3,4,2,3,2.8571428571
"Modelling, Simulation and Gaming SR[714]",CSIR,DPSS,Command Control & Info,Modelling and Simulation for Decision Suppport,MMOLEKOA,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Under resourced,Working condition,Controlled,Modern and Emerging Technologies,"(Modelling, Simulation and Gaming)","(Modelling, Simulation and Gaming) (Modelling, Simulation and Gaming)","Modelling, Simulation and Gaming",4,1,3,3,1,4,3,2.7142857143
Situational Awareness SR[715],CSIR,DPSS,Command Control & Info,Modelling and Simulation for Decision Suppport,MMOLEKOA,RGL,Developing,Well resourced,Well resourced,Formal approach,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,(Situational Awareness),(Situational Awareness) (Situational Awareness),Situational Awareness,3,4,4,3,1,3,3,3
Business environment assessment SR[854],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business environment assessment,4,1,4,3,0,0,0,3
Business plan development SR[851],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Business plan development,4,1,4,3,0,0,0,3
Business processes and procedures assessment SR[855],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business processes and procedures assessment,4,1,4,3,0,0,0,3
Competitiveness improvement (Strategy Development) SR[845],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Subcritical,Emerging,Under resourced,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement (Strategy Development),1,2,2,2,0,0,0,1.75
Due diligence studies (existing enterprises) (Strategy Development) SR[856],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Due diligence studies (existing enterprises) (Strategy Development),4,1,4,3,0,0,0,3
Enterprise Architecture SR[2421],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Developing,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,(Enterprise Architecture),(Enterprise Architecture) (Enterprise Architecture),Enterprise Architecture,4,3,4,3,0,0,0,3.5
Enterprise business support SR[848],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Emerging,Emerging,Well resourced,Formal approach,Under resourced,New requirement,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise business support,2,2,4,3,1,3,0,2.5
Enterprise market support SR[849],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Emerging,Emerging,Well resourced,Formal approach,Under resourced,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise market support,2,2,4,3,1,0,0,2.4
Enterprise technical support SR[850],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Emerging,Developing,Well resourced,Formal approach,Under resourced,New requirement,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise technical support,2,3,4,3,1,3,0,2.6666666667
Funding identification and applications SR[852],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Funding identification and applications,4,1,4,3,0,0,0,3
Incentive identification and applications SR[853],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Incentive identification and applications,4,1,4,3,0,0,0,3
"Management and administrative systems, processes and procedures SR[846]",CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Management and administrative systems, processes and procedures",4,1,4,3,0,0,0,3
"Operational and production systems, processes and procedures SR[847]",CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Mature,Unbalanced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Operational and production systems, processes and procedures",4,1,4,3,0,0,0,3
Product Lifecycle Management SR[857],CSIR,DPSS,Integrative Systems Group,Enterprise Architecture,RBARNARD,RGL,Subcritical,Developing,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Tools and Techniques,Tools and Techniques (Product Lifecycle Management),Product Lifecycle Management,1,3,0,0,0,0,0,2
Advanced methods and tools for Computer Integrated Manufacturing SR[134],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Emerging,Emerging,Under resourced,CSIR Proprietary/Unique,Under resourced,Not applicable,Controlled,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Advanced methods and tools for Computer Integrated Manufacturing),Advanced methods and tools for Computer Integrated Manufacturing,2,2,2,4,1,0,3,2.3333333333
Competitiveness improvement (Strategy Development) SR[135],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Emerging,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,Needs upgrade,Controlled,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement (Strategy Development),2,1,2,4,1,2,3,2.1428571429
Design for Life-cycle-cost-and-time SR[132],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,Needs upgrade,Controlled,Product and Process Design & Development,Design Phase,Design Phase (Design for Life-cycle-cost-and-time),Design for Life-cycle-cost-and-time,3,1,2,4,1,2,3,2.2857142857
Design for Maintainability SR[133],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Emerging,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Product and Process Design & Development,Design Phase,Design Phase (Design for Maintainability),Design for Maintainability,2,1,2,4,1,3,3,2.2857142857
Flexible Manufacturing SR[137],CSIR,DPSS,Integrative Systems Group,Systems Engineering,BGREEFF,RGL,Emerging,Emerging,Under resourced,Formal approach,Under resourced,New requirement,Controlled,Manufacturing Processes & Systems,Manufacturing Systems,Production Systems,Flexible Manufacturing,2,2,2,3,1,3,3,2.2857142857
