survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) [SR3305]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Under resourced,Informal approach,Under resourced,Not applicable,Controlled,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",4,4,2,2,1,0,3,2.6666666667
Facilities Layout [SR3285],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Under resourced,Not applicable,Controlled,Industrial Engineering,Industrial Engineering (Facilities Engineering),Facilities Engineering,Facilities Layout,4,4,3,3,1,0,3,3
Facilities Location [SR3286],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Subcritical,Unbalanced,Well resourced,Formal approach,Under resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Facilities Engineering),Facilities Engineering,Facilities Location,1,1,4,3,1,0,4,2.3333333333
Facilities Sizing [SR3287],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Developing,Well resourced,Well resourced,Formal approach,Under resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Facilities Engineering),Facilities Engineering,Facilities Sizing,3,4,4,3,1,0,4,3.1666666667
"Hazard recognition, evaluation and control [SR3292]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Under resourced,New requirement,Controlled,Industrial Engineering,Industrial Engineering (Safety),Safety,"Hazard recognition, evaluation and control",4,4,3,3,1,3,3,3
"Hearing, sound, noise and vibration [SR3283]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Developing,Well resourced,Under resourced,Formal approach,Under resourced,Not applicable,Controlled,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,"Hearing, sound, noise and vibration",3,4,2,3,1,0,3,2.6666666667
Knowledge communication [SR3298],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Not applicable,Not applicable,Not applicable,Not applicable,Controlled,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Knowledge communication),Knowledge communication,4,4,0,0,0,0,3,3.6666666667
Knowledge management [SR3299],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Not applicable,Not applicable,Not applicable,Not applicable,Controlled,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Knowledge management),Knowledge management,4,4,0,0,0,0,3,3.6666666667
Knowledge portals [SR3300],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Not applicable,Not applicable,Not applicable,Not applicable,Controlled,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Knowledge portals),Knowledge portals,4,4,0,0,0,0,3,3.6666666667
Maintenance management and control tools and techniques [SR3290],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Operations Engineering and Management),Operations Engineering and Management,Maintenance management and control tools and techniques,3,1,2,4,1,0,4,2.5
Managing customer relationships [SR3294],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Supply Chain Management),Industrial Engineering (Supply Chain Management),Managing customer relationships,4,4,0,2,0,0,0,3.3333333333
Organisational and social aspects of system design [SR3284],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Under resourced,Informal approach,Under resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Organisational and social aspects of system design,4,4,2,2,1,0,4,2.8333333333
"Planning, generating, distributing, analysing and using data to facilitate decision making and communication [SR3289]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Information Engineering),Information Engineering,"Planning, generating, distributing, analysing and using data to facilitate decision making and communication",4,1,3,4,3,0,0,3
Plant and facilities engineering [SR3288],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Controlled,Industrial Engineering,Industrial Engineering (Facilities Engineering),Facilities Engineering,Plant and facilities engineering,4,1,3,3,3,1,3,2.5714285714
Product Simulation and Prototyping [SR3297],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Emerging,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Product Simulation and Prototyping,2,1,2,4,1,3,3,2.2857142857
"Quality engineering techniques, sampling/auditing/inspection and tools [SR3291]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Industrial Engineering,Industrial Engineering (Quality and Reliability Engineering),Quality and Reliability Engineering,"Quality engineering techniques, sampling/auditing/inspection and tools",4,4,3,4,1,3,3,3.1428571429
Safety and health management [SR3293],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Under resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Safety),Safety,Safety and health management,4,4,3,4,1,0,4,3.3333333333
Tools and techniques [SR3278],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Developing,Unbalanced,Not resourced,CSIR Proprietary/Unique,Under resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Engineering Economic Analysis),Engineering Economic Analysis,Tools and techniques,3,1,1,4,1,0,4,2.3333333333
All binders SR[488],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Freely available,Materials Engineering,Chemical Products,Chemical Products  (All binders),All binders,3,3,3,4,3,2,4,3.1428571429
Batch Production SR[509],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Production Systems,Batch Production,4,1,2,4,1,3,4,2.7142857143
"Board establishment, development and mentoring SR[502]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Board establishment, development and mentoring",4,0,0,0,0,0,0,4
Business plan development SR[514],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Business plan development,4,1,3,3,3,0,0,2.8
Business registrations SR[503],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,Business registrations,4,0,0,0,0,0,0,4
Casting/moulding SR[506],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Manufacturing Processes & Systems,Manufacturing Processes,Casting/moulding,Casting/moulding,4,1,2,4,1,3,3,2.5714285714
Cement SR[481],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Developing,Under resourced,CSIR Proprietary/Unique,Under resourced,Needs upgrade,Freely available,Materials Engineering,Ceramics,Ceramics  (Cement),Cement,4,3,2,4,1,2,4,2.8571428571
Ceramics - Clays SR[482],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Well resourced,Formal approach,Well resourced,Working condition,Freely available,Materials Engineering,Ceramics,Ceramics  (Clays),Ceramics - Clays,4,1,4,3,4,4,4,3.4285714286
Ceramics and polymers SR[491],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Modern and Emerging Technologies,Composite Materials and Technologies,Composite Materials and Technologies (Ceramics and polymers),Ceramics and polymers,4,1,2,4,1,3,3,2.5714285714
Concrete (fibre reinforced) SR[493],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Old,Freely available,Materials Engineering,Composites,Composites  (Concrete (fibre reinforced)),Concrete (fibre reinforced),3,4,3,3,3,1,4,3
Constructional ceramics (Porcelain/Stoneware/Earthware) SR[483],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Under resourced,Formal approach,Under resourced,New requirement,Controlled,Materials Engineering,Ceramics,Ceramics  (Constructional ceramics (Porcelain/Stoneware/Earthware)),Constructional ceramics (Porcelain/Stoneware/Earthware),4,1,2,3,1,3,3,2.4285714286
Engineering ceramics (Alumina/Carbides/Nitrides) SR[484],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Under resourced,Formal approach,Under resourced,Working condition,Controlled,Materials Engineering,Ceramics,Ceramics  (Engineering ceramics (Alumina/Carbides/Nitrides)),Engineering ceramics (Alumina/Carbides/Nitrides),4,1,2,3,1,4,3,2.5714285714
Engineering Management (Project Management) SR[500],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,Engineering Management (Project Management),3,3,3,3,3,0,0,3
Factory layout SR[508],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,New requirement,Controlled,Manufacturing Processes & Systems,Manufacturing Systems,Manufacturing Systems(Factory layout),Factory layout,3,3,2,3,1,3,3,2.5714285714
Feasibility SR[496],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Feasibility),Feasibility,4,1,2,4,1,3,3,2.5714285714
Ferrous alloys - Alloy steels (Low Alloy/Tool/Stainless) SR[510],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Materials Engineering,Metallic,Metallic  (Ferrous alloys - Alloy steels (Low Alloy/Tool/Stainless)),Ferrous alloys - Alloy steels (Low Alloy/Tool/Stainless),4,1,3,3,3,4,4,3.1428571429
Ferrous alloys - Cast irons (Grey/White/Malleable/Nodular) SR[511],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Materials Engineering,Metallic,Metallic  (Ferrous alloys - Cast irons (Grey/White/Malleable/Nodular)),Ferrous alloys - Cast irons (Grey/White/Malleable/Nodular),4,1,3,3,3,4,4,3.1428571429
Ferrous alloys - Plain carbon steels (Low/Medium/High) SR[512],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Materials Engineering,Metallic,Metallic  (Ferrous alloys - Plain carbon steels (Low/Medium/High)),Ferrous alloys - Plain carbon steels (Low/Medium/High),4,1,3,3,3,4,4,3.1428571429
Fly Ash and Building Materials SR[513],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Well resourced,Working condition,Not Applicable,Materials Engineering,Natural Fibres,Natural Fibres  (Fly Ash and Building Materials),Fly Ash and Building Materials,3,3,3,4,4,4,0,3.5
Geopolymer Cement SR[485],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Freely available,Materials Engineering,Ceramics,Ceramics  (Geopolymer Cement),Geopolymer Cement,3,3,3,4,3,2,4,3.1428571429
Glasses (Soda/Borosilicates/Pyroceramics) SR[486],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Unbalanced,Under resourced,Formal approach,Under resourced,New requirement,Controlled,Materials Engineering,Ceramics,Ceramics  (Glasses (Soda/Borosilicates/Pyroceramics)),Glasses (Soda/Borosilicates/Pyroceramics),3,1,2,3,1,3,3,2.2857142857
High strength SR[497],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Freely available,Materials Engineering,Concrete,Concrete  (High strength),High strength,3,3,3,4,3,4,4,3.4285714286
Hydrated Salts SR[489],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,New requirement,Freely available,Materials Engineering,Chemical Products,Chemical Products  (Hydrated Salts),Hydrated Salts,3,3,3,4,3,3,4,3.2857142857
Inorganic Fibres SR[490],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Materials Engineering,Chemical Products,Chemical Products  (Inorganic Fibres),Inorganic Fibres,3,3,2,4,1,3,3,2.7142857143
"Leadership, teamwork and organisation related practices SR[499]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,"Leadership, teamwork and organisation related practices",4,4,4,3,4,0,0,3.8
Life Cycle Analysis SR[478],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Life Cycle Analysis),Life Cycle Analysis,4,4,3,3,3,2,3,3.1428571429
Managing product flow SR[520],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Under resourced,Formal approach,Under resourced,Not applicable,Controlled,Industrial Engineering,Industrial Engineering (Supply Chain Management),Industrial Engineering (Supply Chain Management),Managing product flow,4,1,2,3,1,0,3,2.3333333333
Market Feasibility studies SR[515],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Market Feasibility studies,3,3,3,3,3,0,0,3
Mechanical & Material Testing & Characterisation SR[479],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Under resourced,Old,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Mechanical & Material Testing & Characterisation),Mechanical & Material Testing & Characterisation,4,3,3,4,1,1,3,2.7142857143
Natural ceramics (Rocks) SR[487],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Under resourced,Informal approach,Sufficiently resourced,Needs upgrade,Freely available,Materials Engineering,Ceramics,Ceramics  (Natural ceramics (Rocks)),Natural ceramics (Rocks),3,3,2,2,3,2,4,2.7142857143
Natural fibre based SR[494],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Well resourced,Working condition,Freely available,Materials Engineering,Composites,Composites  (Natural fibre based),Natural fibre based,3,3,3,4,4,4,4,3.5714285714
"Natural Rock, Railway Ballast, Industrial by-products SR[477]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Materials Engineering,Aggregates,"Aggregates  (Natural Rock, Railway Ballast, Industrial by-products)","Natural Rock, Railway Ballast, Industrial by-products",4,3,3,3,3,4,4,3.4285714286
Non-Destructive Inspection / Test SR[480],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Subcritical,Not applicable,Not resourced,Formal approach,Under resourced,Not applicable,Controlled,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Non-Destructive Inspection / Test),Non-Destructive Inspection / Test,1,0,1,3,1,0,3,1.8
Phase change materials for construction SR[519],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Emerging,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Controlled,Materials Engineering,Phase change materials for construction,Phase change materials for construction,Phase change materials for construction,2,3,3,4,3,2,3,2.8571428571
Pilot production SR[504],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Enterprise Development,Enterprise creation and development,Enterprise creation,Pilot production,3,3,3,4,1,3,3,2.8571428571
Powder processing SR[507],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Old,Controlled,Manufacturing Processes & Systems,Manufacturing Processes,Forming,Powder processing,4,1,3,4,3,1,3,2.7142857143
"Production equipment procurement, installation and commissioning SR[505]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Production equipment procurement, installation and commissioning",4,4,3,4,3,0,0,3.6
Recycling of materials SR[492],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Unbalanced,Under resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Freely available,Modern and Emerging Technologies,Composite Materials and Technologies,Composite Materials and Technologies (Recycling of materials),Recycling of materials,3,1,2,4,1,3,4,2.5714285714
Reverse engineering SR[521],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Controlled,Product and Process Design & Development,Tools and Techniques,Tools and Techniques (Reverse engineering),Reverse engineering,4,1,3,4,3,2,3,2.8571428571
Standard SR[498],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Well resourced,Well resourced,Formal approach,Under resourced,Old,Freely available,Materials Engineering,Concrete,Concrete  (Standard),Standard,4,4,4,3,1,1,4,3
Strategic management SR[501],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Not applicable,Formal approach,Under resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,Strategic management,4,1,0,3,1,0,0,2.25
Structural panels SR[495],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Developing,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,New requirement,Controlled,Materials Engineering,Composites,Composites  (Structural panels),Structural panels,3,3,3,4,3,3,3,3.1428571429
Technical feasibility studies SR[517],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Sufficiently resourced,CSIR Proprietary/Unique,Under resourced,New requirement,Controlled,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Technical feasibility studies,4,1,3,4,1,3,3,2.7142857143
Techno-economic Feasibility studies (Pre-feasibility Studies) SR[516],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Techno-economic Feasibility studies (Pre-feasibility Studies),4,1,3,3,3,0,0,2.8
Viability assessments SR[518],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Construction Materials,JMAPIRAVANA,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Viability assessments,3,1,3,3,3,0,0,2.6
Bathymetric  [2625],CSIR,BUILT ENVIRONMENT,HIE - Hydraulic Infrastructure Engineering,Coastal Engineering and Port Infrastructure,EMABILLE,RGL,Mature,Unbalanced,Under resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Environment and Natural Resources,Marine,Marine (Marine survey),Bathymetric,4,1,2,3,1,2,4,2.4285714286
