survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Competitiveness improvement (Project Management) SR[301],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement (Project Management),4,4,0,3,0,0,0,3.6666666667
Competitiveness improvement (Strategy Development) SR[303],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement (Strategy Development),3,1,0,2,0,0,0,2
Competitiveness improvement assessments SR[296],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement assessments,4,1,0,3,0,0,0,2.6666666667
Deal structuring SR[344],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Deal structuring,2,3,0,2,0,0,0,2.3333333333
Due diligence assessments SR[327],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Due diligence assessments,4,1,0,3,0,0,0,2.6666666667
Due diligence studies (existing enterprises) (Strategy Development) SR[345],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Due diligence studies (existing enterprises) (Strategy Development),3,1,0,2,0,0,0,2
Economic development opportunity identification SR[351],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Rapid reviews (geographic area based),Economic development opportunity identification,4,4,0,3,0,0,0,3.6666666667
Energy Management Systems SR[292],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Energy Management Systems),Energy Management Systems,4,1,0,2,0,0,0,2.3333333333
Energy System Optimisation SR[293],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Energy System Optimisation),Energy System Optimisation,4,1,0,2,0,0,0,2.3333333333
Enterprise business support SR[311],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise business support,4,1,0,2,0,0,0,2.3333333333
Enterprise legal support SR[312],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise legal support,2,3,0,2,0,0,0,2.3333333333
Enterprise market support SR[313],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise market support,3,1,0,2,0,0,0,2
Enterprise Resource Planning SR[332],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Manufacturing Processes & Systems,Manufacturing Systems,Manufacturing Systems(Enterprise Resource Planning),Enterprise Resource Planning,3,1,0,2,0,0,0,2
Enterprise social support SR[314],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Incubation,Enterprise social support,2,3,0,2,0,0,0,2.3333333333
Enterprise technical support SR[315],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Informal approach,Not applicable,Not applicable,Freely available,Enterprise Development,Enterprise creation and development,Incubation,Enterprise technical support,4,4,0,2,0,0,4,3.5
ESP Programme design SR[316],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Enterprise Development Programmes (ESP),ESP Programme design,4,1,0,2,0,0,0,2.3333333333
ESP Programme implementation SR[317],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Enterprise Development Programmes (ESP),ESP Programme implementation,4,1,0,2,0,0,0,2.3333333333
ESP Programme management SR[318],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Enterprise Development Programmes (ESP),ESP Programme management,4,1,0,2,0,0,0,2.3333333333
Export readiness assessments SR[297],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Export readiness assessments,4,1,0,3,0,0,0,2.6666666667
Factory layout SR[333],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Manufacturing Processes & Systems,Manufacturing Systems,Manufacturing Systems(Factory layout),Factory layout,4,1,0,2,0,0,0,2.3333333333
Feasibility studies SR[328],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Feasibility studies,4,4,0,3,0,0,0,3.6666666667
Financial modelling SR[346],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Financial modelling,4,4,3,3,0,0,0,3.5
Funding identification and applications SR[338],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Funding identification and applications,2,3,0,2,0,0,0,2.3333333333
Identification of opportunities to strengthen the enabling environment SR[354],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Sector Studies,Identification of opportunities to strengthen the enabling environment,2,3,0,2,0,0,0,2.3333333333
Identification of opportunities to strengthen the sector SR[355],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Sector Studies,Identification of opportunities to strengthen the sector,3,1,0,2,0,0,0,2
Incentive identification and applications SR[339],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Incentive identification and applications,3,1,0,2,0,0,0,2
Incubator development SR[320],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Incubator development,4,1,0,2,0,0,0,2.3333333333
Incubator establishment SR[321],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Incubator establishment,4,1,0,3,0,0,0,2.6666666667
Incubator opportunity assessment SR[322],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Incubator opportunity assessment,4,1,0,2,0,0,0,2.3333333333
Incubator Planning SR[323],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Incubator Planning,4,1,0,2,0,0,0,2.3333333333
Industrial parks and estates (IP&E) (Pre-feasibility Studies) SR[329],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Industrial parks and estates (IP&E) (Pre-feasibility Studies),3,1,0,2,0,0,0,2
Infrastructure development opportunity identification SR[352],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Rapid reviews (geographic area based),Infrastructure development opportunity identification,3,1,0,3,0,0,0,2.3333333333
Internal Systems SR[336],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Manufacturing Processes & Systems,Manufacturing Systems,Manufacturing Systems (Supply Chain Management),Internal Systems,2,3,0,2,0,0,0,2.3333333333
Lean manufacturing SR[298],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Lean manufacturing,2,3,0,2,0,0,0,2.3333333333
LED Internship programme SR[290],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED practitioner training,LED Internship programme,3,1,0,3,0,0,0,2.3333333333
LED Program design SR[287],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED and related support programmes,LED Program design,4,1,0,2,0,0,0,2.3333333333
LED program development SR[288],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED and related support programmes,LED program development,4,1,0,2,0,0,0,2.3333333333
LED programme management SR[289],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED and related support programmes,LED programme management,4,1,0,2,0,0,0,2.3333333333
LED Training and mentoring SR[291],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Capacity Building for Local Economic Development (LED),LED practitioner training,LED Training and mentoring,4,1,0,3,0,0,0,2.6666666667
Logistics and supply chain development SR[299],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Logistics and supply chain development,3,1,0,2,0,0,0,2
Maintenance and repair SR[334],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Manufacturing Systems(Maintenance and repair),Maintenance and repair,3,1,0,2,0,0,4,2.5
"Management and administrative systems, processes and procedures SR[306]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Management and administrative systems, processes and procedures",4,1,0,3,0,0,0,2.6666666667
Market development and linkages SR[307],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,Market development and linkages,3,1,0,3,0,0,0,2.3333333333
Market Feasibility studies SR[347],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Market Feasibility studies,4,1,0,3,0,0,0,2.6666666667
"Operational and production systems, processes and procedures SR[308]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Operational and production systems, processes and procedures",4,4,0,3,0,0,0,3.6666666667
Optimisation and Integration SR[331],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Optimisation and Integration),Optimisation and Integration,2,3,0,2,0,0,0,2.3333333333
Performance management systems SR[300],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Performance management systems,4,1,0,3,0,0,0,2.6666666667
Pilot production SR[309],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Freely available,Enterprise Development,Enterprise creation and development,Enterprise creation,Pilot production,4,1,0,3,0,0,4,3
"Production equipment procurement, installation and commissioning SR[310]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Freely available,Enterprise Development,Enterprise creation and development,Enterprise creation,"Production equipment procurement, installation and commissioning",4,4,0,3,0,0,4,3.75
Programme design SR[324],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Programme design,4,1,0,2,0,0,0,2.3333333333
Programme management SR[325],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Incubator establishment,Programme management,4,1,0,3,0,0,0,2.6666666667
Quality Control SR[335],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Manufacturing Processes & Systems,Manufacturing Systems,Manufacturing Resource Planning Systems,Quality Control,3,1,0,2,0,0,0,2
Quality management systems SR[302],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Quality management systems,4,1,0,3,0,0,0,2.6666666667
Sector based economic opportunity identification SR[356],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Sector Studies,Sector based economic opportunity identification,4,4,0,2,0,0,0,3.3333333333
Social development opportunity identification SR[353],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Rapid reviews (geographic area based),Social development opportunity identification,3,1,0,3,0,0,0,2.3333333333
Supplier development programmes SR[319],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Enterprise Development Programmes (ESP),Supplier development programmes,4,1,0,2,0,0,0,2.3333333333
Technical feasibility studies SR[349],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Technical feasibility studies,4,4,0,3,0,0,0,3.6666666667
Techno-economic Feasibility studies (Pre-feasibility Studies) SR[348],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Techno-economic Feasibility studies (Pre-feasibility Studies),3,1,0,2,0,0,0,2
Time and motion study SR[357],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Work Design and Measurement),Work Design and Measurement,Time and motion study,4,1,0,3,0,0,0,2.6666666667
Turnaround strategy development SR[330],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Turnaround strategy development,3,1,0,2,0,0,0,2
Viability assessments SR[350],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Techno-economic Feasibility studies,Viability assessments,4,1,0,2,0,0,0,2.3333333333
"Board establishment, development and mentoring SR[84]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Board establishment, development and mentoring",4,3,0,2,0,0,0,3
Business case development SR[102],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Business case development,3,3,0,3,0,0,0,3
Business environment assessment SR[110],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Developing,Developing,Sufficiently resourced,Not applicable,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business environment assessment,3,3,3,0,0,0,0,3
Business operations assessment SR[111],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Developing,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business operations assessment,2,3,3,3,0,0,0,2.75
Business plan development SR[107],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Well resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Business plan development,4,4,4,3,0,0,0,3.75
Business processes and procedures assessment SR[112],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business processes and procedures assessment,4,4,3,3,0,0,0,3.5
Business registrations SR[85],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,Business registrations,4,4,0,2,0,0,0,3.3333333333
Business valuation SR[113],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Emerging,Emerging,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business valuation,2,2,2,3,0,0,0,2.25
Change management SR[75],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Not applicable,Not applicable,Not resourced,Not applicable,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Change management,0,0,1,0,0,0,0,1
Competitiveness improvement (Project Management) SR[81],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Western Cape,AWEBB,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement (Project Management),4,4,3,3,0,0,0,3.5
