survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Cloud Technology (Cloud Computing) SR[58],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Subcritical,Emerging,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Cloud Technology,Cloud Technology (Cloud Computing),Cloud Technology (Cloud Computing),1,2,0,0,0,0,0,1.5
Cognitive Computing SR[59],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Developing,Unbalanced,Sufficiently resourced,Not applicable,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cognitive Computing),Cognitive Computing,3,1,3,0,3,0,4,2.8
Collaborative Research in Data Processing SR[56],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Developing,Unbalanced,Under resourced,Not applicable,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Collaborative Research in Data Processing,3,1,2,0,3,0,0,2.25
Computational Intelligence SR[54],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Developing,Developing,Not applicable,Not applicable,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Computational Intelligence),Computational Intelligence,3,3,0,0,3,0,0,3
Context-aware computing SR[62],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Developing,Emerging,Sufficiently resourced,Informal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Spatial Analytics,Spatial Analytics (Context-aware computing),Context-aware computing,3,2,3,2,3,0,4,2.8333333333
Data analysis SR[57],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Emerging,Emerging,Not applicable,Not applicable,Under resourced,Old,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Data analysis,2,2,0,0,1,1,0,1.5
Industrial Big Data SR[60],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Emerging,Emerging,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Big Data),Industrial Big Data,2,2,0,2,0,0,0,2
Interoperability Technology SR[61],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Emerging,Emerging,Under resourced,Informal approach,Not applicable,Not applicable,Freely available,Modern and Emerging Technologies,(Interoperability Technology),(Interoperability Technology) (Interoperability Technology),Interoperability Technology,2,2,2,2,0,0,4,2.4
Global Earth Observation Systems of Systems (GEOSS) [SR3307],CSIR,MERAKA,Earth Observation Information Systems,Earth Observ Appl Dev Team,PFROST,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Needs upgrade,Freely available,Environment and Natural Resources,Earth,Earth (Global Earth Observation Systems of Systems (GEOSS)),Global Earth Observation Systems of Systems (GEOSS),4,4,3,4,3,2,4,3.4285714286
Identification of opportunities to strengthen the sector [SR3306],CSIR,MERAKA,Earth Observation Information Systems,Earth Observ Appl Dev Team,PFROST,RGL,Subcritical,Emerging,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity Identification,Sector Studies,Identification of opportunities to strengthen the sector,1,2,0,2,0,0,0,1.6666666667
Real Time Information Management Systems [SR3308],CSIR,MERAKA,Earth Observation Information Systems,Earth Observ Appl Dev Team,PFROST,RGL,Mature,Well resourced,Sufficiently resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Not applicable,Modern and Emerging Technologies,Decision Support,Decision Support (Real Time Information Management Systems),Real Time Information Management Systems,4,4,3,4,3,4,0,3.6666666667
Big Data Analytics SR[910],CSIR,MERAKA,Earth Observation Information Systems,ICT4EO,SGOVENDER5,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Big Data Analytics,3,3,2,3,1,3,0,2.5
Location-based services SR[913],CSIR,MERAKA,Earth Observation Information Systems,ICT4EO,SGOVENDER5,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Spatial Analytics,Spatial Analytics (Location-based services),Location-based services,4,3,3,3,1,0,0,2.8
Machine Learning SR[914],CSIR,MERAKA,Earth Observation Information Systems,ICT4EO,SGOVENDER5,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Spatial Analytics,Spatial Analytics (Machine Learning),Machine Learning,3,3,2,3,1,3,0,2.5
Real Time Information Management Systems SR[911],CSIR,MERAKA,Earth Observation Information Systems,ICT4EO,SGOVENDER5,RGL,Not applicable,Not applicable,Not applicable,Formal approach,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Decision Support,Decision Support (Real Time Information Management Systems),Real Time Information Management Systems,0,0,0,3,1,0,0,2
Situational Awareness SR[912],CSIR,MERAKA,Earth Observation Information Systems,ICT4EO,SGOVENDER5,RGL,Developing,Not applicable,Under resourced,Formal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,(Situational Awareness),(Situational Awareness) (Situational Awareness),Situational Awareness,3,0,2,3,1,3,0,2.4
Big Data Analytics SR[654],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Big Data Analytics,3,3,2,3,1,2,4,2.5714285714
Cloud Technology (Cloud Computing) SR[656],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Subcritical,Emerging,Not applicable,Formal approach,Not applicable,New requirement,Freely available,Modern and Emerging Technologies,Cloud Technology,Cloud Technology (Cloud Computing),Cloud Technology (Cloud Computing),1,2,0,3,0,3,4,2.6
Data analysis SR[655],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Data analysis,3,3,2,3,1,2,4,2.5714285714
Digital Signals and Image Processing SR[662],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Mature,Unbalanced,Not applicable,Formal approach,Well resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Informatics,Informatics (Digital Signals and Image Processing),Digital Signals and Image Processing,4,1,0,3,4,2,4,3
Environmental economics and sustainability science SR[660],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Environmental economics and sustainability science),Environmental economics and sustainability science,3,1,3,3,3,0,0,2.6
Forest products and waste biomass technologies SR[657],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Mature,Unbalanced,Well resourced,Formal approach,Well resourced,Not applicable,Not applicable,Environment and Natural Resources,Earth,Earth (Forest products and waste biomass technologies),Forest products and waste biomass technologies,4,1,4,3,4,0,0,3.2
Global Earth Observation Systems of Systems (GEOSS) SR[658],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Mature,Unbalanced,Well resourced,Formal approach,Well resourced,Needs upgrade,Not applicable,Environment and Natural Resources,Earth,Earth (Global Earth Observation Systems of Systems (GEOSS)),Global Earth Observation Systems of Systems (GEOSS),4,1,4,3,4,2,0,3
Image Analysis SR[652],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Developing,Developing,Under resourced,Formal approach,Well resourced,Not applicable,Freely available,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Analysis),Image Analysis,3,3,2,3,4,0,4,3.1666666667
Image Processing SR[653],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Mature,Unbalanced,Well resourced,Formal approach,Under resourced,Not applicable,Freely available,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Processing),Image Processing,4,1,4,3,1,0,4,2.8333333333
Industrial Big Data SR[661],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Emerging,Developing,Under resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Big Data),Industrial Big Data,2,3,2,3,1,2,4,2.4285714286
Machine Learning SR[663],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Well resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Spatial Analytics,Spatial Analytics (Machine Learning),Machine Learning,4,1,3,3,4,2,4,3
Terrestrial ecology SR[659],CSIR,MERAKA,Earth Observation Information Systems,Remote Sensing,KWESSELS,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Not applicable,Environment and Natural Resources,Earth,Earth (Terrestrial ecology),Terrestrial ecology,4,1,3,3,3,4,0,3
Coastal and marine observation and prediction systems [SR3311],CSIR,MERAKA,Earth Observation Information Systems,Satellite SAR Research,WKLEYNHANS,RGL,Mature,Well resourced,Sufficiently resourced,Not applicable,Sufficiently resourced,Working condition,Not applicable,Environment and Natural Resources,Marine,Marine (Coastal and marine observation and prediction systems),Coastal and marine observation and prediction systems,4,4,3,0,3,4,0,3.6
Concept development SR[978],CSIR,MERAKA,Integrative Systems,Next Gen ICT Architectures,TFOGWILL,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,1,0,2,0,0,0,2.3333333333
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[980]",CSIR,MERAKA,Integrative Systems,Next Gen ICT Architectures,TFOGWILL,RGL,Mature,Well resourced,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",4,4,2,3,0,0,0,3.25
Digital Health Services SR[982],CSIR,MERAKA,Integrative Systems,Next Gen ICT Architectures,TFOGWILL,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Well resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Informatics,Informatics (Digital Health Services),Digital Health Services,4,4,3,3,4,2,4,3.4285714286
Interoperability Technology SR[984],CSIR,MERAKA,Integrative Systems,Next Gen ICT Architectures,TFOGWILL,RGL,Mature,Unbalanced,Sufficiently resourced,Formal approach,Not applicable,Needs upgrade,Freely available,Modern and Emerging Technologies,(Interoperability Technology),(Interoperability Technology) (Interoperability Technology),Interoperability Technology,4,1,3,3,0,2,4,2.8333333333
Requirements management SR[979],CSIR,MERAKA,Integrative Systems,Next Gen ICT Architectures,TFOGWILL,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,4,4,3,3,0,0,0,3.5
System design SR[981],CSIR,MERAKA,Integrative Systems,Next Gen ICT Architectures,TFOGWILL,RGL,Mature,Unbalanced,Under resourced,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (System design),System design,4,1,2,3,0,0,0,2.5
Web-scale IT SR[983],CSIR,MERAKA,Integrative Systems,Next Gen ICT Architectures,TFOGWILL,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Not applicable,Not applicable,Freely available,Modern and Emerging Technologies,Informatics,Informatics (Web-scale IT),Web-scale IT,4,4,3,3,0,0,4,3.6
Business case development SR[526],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Emerging,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Controlled,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Business case development,2,3,3,3,3,4,3,3
Capacity management tools and techniques SR[530],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Well resourced,Working condition,Freely available,Industrial Engineering,Industrial Engineering (Operations Engineering and Management),Operations Engineering and Management,Capacity management tools and techniques,3,3,3,3,4,4,4,3.4285714286
Concept development SR[522],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Mature,Developing,Well resourced,Formal approach,Well resourced,Working condition,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,4,3,4,3,4,4,3,3.5714285714
Digital Health Services SR[527],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Working condition,Controlled,Modern and Emerging Technologies,Informatics,Informatics (Digital Health Services),Digital Health Services,4,4,4,3,3,4,3,3.5714285714
Digitalization SR[528],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Not applicable,Not applicable,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Controlled,Modern and Emerging Technologies,Informatics,Informatics (Digitalization),Digitalization,0,0,3,3,3,4,3,3.2
Feasibility SR[523],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Not applicable,Working condition,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Feasibility),Feasibility,3,3,3,3,0,4,3,3.1666666667
Function analysis SR[524],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Function analysis),Function analysis,3,3,3,3,3,4,3,3.1428571429
Interoperability Technology SR[529],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,(Interoperability Technology),(Interoperability Technology) (Interoperability Technology),Interoperability Technology,4,3,3,3,3,0,0,3.2
Operations planning tools and techniques SR[531],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Well resourced,Working condition,Controlled,Industrial Engineering,Industrial Engineering (Operations Engineering and Management),Operations Engineering and Management,Operations planning tools and techniques,3,3,3,3,4,4,3,3.2857142857
Quality management Change and configuration management SR[532],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Controlled,Industrial Engineering,Industrial Engineering (Quality and Reliability Engineering),Quality and Reliability Engineering,Quality management Change and configuration management,3,3,3,3,3,4,3,3.1428571429
Requirements management SR[525],CSIR,MERAKA,Integrative Systems,TIME Technology Implmentation Monitoring & Evaluation,JMEDUPE,RGL,Not applicable,Developing,Well resourced,Formal approach,Well resourced,Working condition,Controlled,Product and Process Design & Development,Concept Phase,Concept Phase (Requirements management),Requirements management,0,3,4,3,4,4,3,3.5
Grid Computing SR[935],CSIR,MERAKA,SANReN,Network Engineering,SMAMMEN,RGL,Mature,Unbalanced,Under resourced,Not applicable,Under resourced,Old,Freely available,Modern and Emerging Technologies,Grid Technology,Grid Technology (Grid Computing),Grid Computing,4,1,2,0,1,1,4,2.1666666667
WAN Network Engineering SR[2433],CSIR,MERAKA,SANReN,Network Engineering,SMAMMEN,RGL,Mature,Well resourced,Not applicable,Formal approach,Sufficiently resourced,Not applicable,Freely available,Modern and Emerging Technologies,Telecommunications and Media,Telecommunications and Media (WAN Network Engineering),WAN Network Engineering,4,4,0,3,3,0,4,3.6
Competitiveness improvement (Project Management) [SR3000],CSIR,MERAKA,SANReN,Portfolio & Project Management,ZMAKALIMA,RGL,Developing,Unbalanced,Not resourced,Informal approach,Under resourced,New requirement,Controlled,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Competitiveness improvement (Project Management),3,1,1,2,1,3,3,2
Programme management [SR3001],CSIR,MERAKA,SANReN,Portfolio & Project Management,ZMAKALIMA,RGL,Emerging,Unbalanced,Not resourced,Informal approach,Under resourced,New requirement,Controlled,Enterprise Development,Enterprise support programmes,Incubator establishment,Programme management,2,1,1,2,1,3,3,1.8571428571
Adaptive security architecture SR[889],CSIR,MERAKA,SANReN,Services Development & Incubation,RVHEERDEN,RGL,Emerging,Developing,Under resourced,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Security,Security (Adaptive security architecture),Adaptive security architecture,2,3,2,4,3,0,0,2.8
Autonomous vehicles SR[615],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Autonomous vehicles),Autonomous vehicles,1,2,2,2,1,3,0,1.8333333333
Big Data Analytics SR[617],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Big Data Analytics,3,2,2,2,1,3,0,2.1666666667
Blockchain Technology SR[619],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Subcritical,Emerging,Not resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,(Blockchain Technology),(Blockchain Technology) (Blockchain Technology),Blockchain Technology,1,2,1,2,1,3,0,1.6666666667
Concept development SR[621],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Developing,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,3,0,0,0,0,0,0,3
Data analysis SR[618],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Emerging,Developing,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Data analysis,2,3,2,2,1,3,0,2.1666666667
Decision Support Technologies SR[622],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Emerging,Developing,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Decision Support,Decision Support (Decision Support Technologies),Decision Support Technologies,2,3,2,2,1,3,0,2.1666666667
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[624]",CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Developing,Emerging,Under resourced,Informal approach,Under resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",3,2,2,2,1,0,0,2
Digital identity SR[630],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Subcritical,Emerging,Not resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Security,Security (Digital identity),Digital identity,1,2,1,2,1,3,0,1.6666666667
Image Processing SR[616],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Emerging,Emerging,Sufficiently resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Processing),Image Processing,2,2,3,2,1,3,0,2.1666666667
Industrial Big Data SR[627],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Subcritical,Emerging,Not resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Big Data),Industrial Big Data,1,2,1,2,1,3,0,1.6666666667
Industry 4.0 (Cloud Computing) SR[626],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Subcritical,Emerging,Not applicable,Not applicable,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cloud Computing),Industry 4.0 (Cloud Computing),1,2,0,0,1,0,0,1.3333333333
Information system analysis and design SR[628],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Developing,Developing,Sufficiently resourced,Informal approach,Under resourced,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Information Engineering),Information Engineering,Information system analysis and design,3,3,3,2,1,0,0,2.4
"Planning, generating, distributing, analysing and using data to facilitate decision making and communication SR[629]",CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Industrial Engineering,Industrial Engineering (Information Engineering),Information Engineering,"Planning, generating, distributing, analysing and using data to facilitate decision making and communication",3,3,2,2,1,3,0,2.3333333333
Probabilistic modeling and analysis SR[620],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,"Characterization, Modeling and Simulation of Mechanical Processes","Characterization, Modeling and Simulation of Mechanical Processes (Probabilistic modeling and analysis)",Probabilistic modeling and analysis,1,2,2,2,1,3,0,1.8333333333
Real Time Information Management Systems SR[623],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Subcritical,Emerging,Under resourced,Informal approach,Under resourced,New requirement,Not applicable,Modern and Emerging Technologies,Decision Support,Decision Support (Real Time Information Management Systems),Real Time Information Management Systems,1,2,2,2,1,3,0,1.8333333333
System design SR[625],CSIR,MERAKA,Smart Systems,Data Science Analytics & Visua,KMATTHEE,RGL,Developing,Emerging,Sufficiently resourced,Informal approach,Under resourced,Not applicable,Not applicable,Product and Process Design & Development,Design Phase,Design Phase (System design),System design,3,2,3,2,1,0,0,2.2
Concept development SR[915],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Developing,Developing,Sufficiently resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,3,3,3,2,1,2,4,2.5714285714
Cyber-Physical Systems SR[928],CSIR,MERAKA,Smart Systems,Embedded Intelligent Systems,SISAAC,RGL,Emerging,Unbalanced,Sufficiently resourced,Informal approach,Sufficiently resourced,Working condition,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cyber-Physical Systems),Cyber-Physical Systems,2,1,3,2,3,4,3,2.5714285714
